"","context","type","date_published","url","author_name","claim_reviewed","review_rating"
"63","http://schema.org","ClaimReview","2018-12-10","https://www.politifact.com/new-york/statements/2018/dec/07/andrew-cuomo/cuomo-said-treatment-amazon-no-different/","PolitiFact","""There is nothing that we have done on Amazon that we have not done with hundreds of other projects.""","True"
"64","http://schema.org","ClaimReview","2017-08-23","https://www.politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/","PolitiFact","""We have become an energy exporter for the first time ever just recently.""","False"
"65","http://schema.org","ClaimReview","2016-10-18","https://www.politifact.com/florida/statements/2016/oct/18/patrick-murphy/patrick-murphy-right-about-marco-rubio-attacks-don/","PolitiFact","""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, he went on to say he doesn't trust Donald Trump with the nuclear codes.""","True"
"66","http://schema.org","ClaimReview","2018-03-18","https://www.washingtonpost.com/news/fact-checker/wp/2018/03/18/president-trumps-false-claim-that-clinton-wouldnt-have-sent-humans-to-mars/","The Washington Post","“Very soon we are going to Mars. You wouldn't have been going to Mars if my opponent won, that I can tell you. You wouldn't even be thinking about it.”","Four Pinocchios"
"67","http://schema.org","ClaimReview","2018-11-06","https://www.politifact.com/facebook-fact-checks/statements/2018/nov/06/blog-posting/pants-fire-claim-armed-black-panthers-atlanta-stre/","PolitiFact","""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""","Pants on Fire"
"68","http://schema.org","ClaimReview","2018-03-26","https://www.washingtonpost.com/news/fact-checker/wp/2018/03/26/president-trumps-claim-that-china-caused-60000-u-s-factories-to-close/","Washington Post","""We’ve lost, over a fairly short period of time, 60,000 factories in our country — closed, shuttered, gone. Six million jobs, at least, gone.""","Two Pinocchios"
"69","http://schema.org","ClaimReview","2018-02-22","https://www.politifact.com/florida/statements/2018/feb/22/giffords/florida-gov-rick-scott-made-it-illegal-doctors-tal/","PolitiFact","""Gov. Rick Scott made it illegal for a doctor to ask a patient if they owned a gun, even a mental health professional. This law was so dangerous that a court had to strike it down.""","Mostly True"
"70","http://schema.org","ClaimReview","2017-02-02","https://www.politifact.com/truth-o-meter/statements/2017/feb/02/nancy-pelosi/pelosis-misleading-claim-gorsuch-sides-felons-over/","PolitiFact","Says Neil Gorsuch ""comes down on the side of felons over gun safety.""","Mostly False"
"71","http://schema.org","ClaimReview","2017-01-13","https://www.politifact.com/global-news/statements/2017/jan/11/nick-seymour/tuberculosis-might-top-hivaids-deadliest-infectiou/","PolitiFact","Tuberculosis recently passed ""HIV/AIDS as the leading infectious killer globally.""","Half True"
"72","http://schema.org","ClaimReview","2016-09-16","https://www.politifact.com/florida/statements/2016/sep/16/senate-majority-pac/fact-checking-democratic-attacks-marco-rubios-stat/","PolitiFact","Says ""Marco Rubio wanted to cut Social Security and Medicare because he said they’re bankrupting our country.""","Half True"
"73","http://schema.org","ClaimReview","2018-09-28","https://www.politifact.com/west-virginia/statements/2018/sep/28/patrick-morrisey/does-joe-manchin-have-d-rating-national-rifle-asso/","PolitiFact","""Joe Manchin has a ‘D' rating from the NRA.""","Mostly True"
"74","http://schema.org","ClaimReview","2016-09-08","https://www.politifact.com/wisconsin/statements/2016/sep/07/ron-johnson/feingold-broke-promise-fund-campaign-primarily-sta/","PolitiFact","Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.","True"
"75","http://schema.org","ClaimReview","2017-04-13","https://www.politifact.com/georgia/statements/2017/apr/13/congressional-leadership-fund/attack-ad-ties-jon-ossoff-al-jazeera/","PolitiFact","Says Al Jazeera, ""a mouthpiece for terrorists, has been paying Jon Ossoff thousands of dollars. ... What is he hiding?""","Mostly False"
"76","http://schema.org","ClaimReview","2017-01-17","https://www.factcheck.org/2017/01/lewis-skipped-bushs-inauguration-too/","FactCheck.org","Donald Trump's inauguration ""will be the first one that I miss since I’ve been in the Congress.""","False"
"77","http://schema.org","ClaimReview","2018-03-02","https://www.factcheck.org/2018/03/georgia-didnt-ban-muslim-culture/","FactCheck.org","""Georgia Becomes First State To Ban Muslim Culture In Historic Move To Restore Western Values.""","False"
"78","http://schema.org","ClaimReview","2017-06-22","http://www.politifact.com/truth-o-meter/article/2017/jun/22/fact-checking-nine-things-trump-overstated-got-wro/","PolitiFact","“Right now, we are one of the highest-taxed nations in the world. Really, on a large-scale basis, we are the highest-taxed nation in the world.”","Talking point still mixed"
"79","http://schema.org","ClaimReview","2018-01-31","https://www.politifact.com/truth-o-meter/statements/2018/jan/30/donald-trump/trump-says-tax-bill-led-bonuses-three-million-work/","PolitiFact","""Since we passed tax cuts, over 3 million workers have gotten tax cut bonuses — many of them thousands and thousands of dollars.""","Mostly True"
"80","http://schema.org","ClaimReview","2019-02-06","https://www.politifact.com/facebook-fact-checks/statements/2019/feb/06/viral-image/viral-image-falsely-identifies-us-congressman-el-c/","PolitiFact","Says Nancy Pelosi and Beto O’Rourke were photographed with El Chapo.","Pants on Fire"
